"Story","Title","Result","Date","Stability","Duration (s)"
"Student CURD test","Delete the student and verify if the student is deleted","SUCCESS","2020-05-20T14:01:36.871+01:00","0.0","0.39"
"Student CURD test","This test will create a new student :","SUCCESS","2020-05-20T14:01:20.667+01:00","0.0","12.9"
"Student CURD test","Update the user information and verify the update information :","SUCCESS","2020-05-20T14:01:36.389+01:00","0.0","0.46"
"Student CURD test","verify the student is added to the applicatin :","SUCCESS","2020-05-20T14:01:33.745+01:00","0.0","2.64"
